"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop HP 14-EP0112TU 8C5L1PA","Intel Core i5 - 1335U (4.60 GHz, 10 lõi / 12 luồng, 12MB)","2 khe (8GB + 8GB)","Intel Iris Xe Graphics","512 GB PCIe NVMe M.2 SSD","14 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion","Windows 11 Home SL","Bạc","15.490.000₫","",""
"Laptop HP 14-EP0220TU B73VWPA V2","Intel Core i3-1315U (up to 4.5 GHz with Intel Turbo Boost Technology, 10 MB L3 cache, 6 lõi, 8 luồng)","DDR4-3200 MT/s","Intel UHD Graphics","512 GB PCIe NVMeTM M.2 SSD","14 inches","1920 x 1080 pixels (FullHD)","Viền siêu mỏng
Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 62.5% sRGB","3-cell, 41 Wh Li-ion polymer
Bộ đổi nguồn AC thông minh 45 W","Windows 11 Home Single Language","Bạc","12.590.000₫","",""
"Laptop HP Omnibook X Flip 14-FM0088TU BZ7Q2PA","Intel Core Ultra 5 226V (lên đến 4.5 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 8 MB, 8 lõi, 8 luồng)","LPDDR5x-8533 MT/s (onboard)","Intel Arc 130V GPU (8GB)","512 GB PCIe Gen4 NVMe M.2 SSD","14 inches","1920 x 1200 pixels (WUXGA)","Kính tràn viền
Viền mỏng
Corning Gorilla Glass 3
Độ sáng 400 nits
Độ phủ màu 62.5% sRGB","3-cell, 59 Wh Li-ion polymer
Bộ đổi nguồn USB Type-C 65 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút","Windows 11 Home + Office","Xanh","25.990.000₫","",""
"Laptop HP Omnibook 7 Aero 13-BG1087AU BZ7S1PA","AMD Ryzen AI 5 340 (up to 4.8 GHz max boost clock,16 MB L3 cache, 6 lõi,12 luồng)","Onboard","AMD Radeon 840M Graphics","512 GB PCIe Gen4 NVMe M.2 SSD","13.3 inches","1920 x 1200 pixels (WUXGA)","Viền mỏng
Màn hình chống chói
Độ sáng 400 nits
Độ phủ màu 100% sRGB","3-cell, 43 Wh Li-ion polymer
65 W USB Type-C power adapter
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút","Windows 11 Home + Office","Bạc","24.490.000₫","",""
"Laptop HP OmniBook 7 14-FR0033TU C1MN2PA","Intel Core Ultra 5 225U (lên đến 4.8 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 12 MB, 12 lõi, 14 luồng)","LPDDR5-5200 MT/s Onboard","Intel Graphics","512 GB PCIe Gen4 NVMe M.2 SSD","14 inches","1920 x 1200 pixels (WUXGA)","Viền mỏng
Màn hình chống chói
Độ sáng 300 nits
Độ phủ màu 62.5% sRGB","4-cell, 68 Wh Li-ion polymer
Bộ đổi nguồn USB Type-C 65 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút","Windows 11 Home Single Language + Office","Bạc","23.490.000₫","",""
"Laptop HP 245 G10 B8PF8AT","AMD Ryzen 5 7530U (up to 4.5 GHz max boost clock,16 MB L3 cache, 6 lõi,12 luồng)","DDR4-3200 MT/s (1 x 16 GB)","AMD Radeon Graphics","256 GB PCIe NVMeTM SSD","14 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Độ sáng 250 nits
Màn hình chống chói","HP Long Life 3-cell, 41 Wh Li-ion","Windows 11 Home","Bạc","12.790.000₫","5 sao/ (1 đánh giá)","máy mỏng nhẹ, màn hình nét chống chói, có gạt để che camera, thời gian dùng pin khá dài"
"Laptop HP 14-DQ2055WM 39K15UA - Nhập khẩu chính hãng","Intel Core i3-1115G4","1 x 4 GB, 1 khe cắm hỗ trợ tối đa 8GB","Intel UHD Graphics","256 GB PCIe NVMe M.2 SSD","14 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion","Windows 10 Home SL","Bạc","10.490.000₫","",""
"Laptop HP Victus 15-FA2731TX B85LNPA","Intel Core i5-13420H (8 lõi) - Max Turbo Frequency: 4.60 GHz","2 khe (1 x 16GB)","NVIDIA GeForce RTX 3050 (6GB of GDDR6 SDRAM, Bus Width: 96- bit)
Intel UHD Graphics","512GB SSD1 PCIe (M.2 2280)","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói","3 Cell Int (52.5Wh)","Windows 11 Home Single Language 64-bit","Đen","21.790.000₫","",""
"Laptop HP Omnibook X Flip 14-FM0076TU BZ7P6PA","Intel Core Ultra 7 258V (8 lõi) - Max Turbo Frequency: 4. 80 GHz","LPDDR5x-8533 MHz (onboard)","Intel Arc 140V GPU (16GB)","512GB SSD PCIe (M.2 2280)","14 inches","1920 x 1200 pixels (WUXGA)","Kính tràn viền
Viền mỏng
Hỗ trợ bút stylus","3 Cell Int (59.16Wh)","Windows 11 Home Single Language 64-bit + Office Home 2024","Xanh","33.990.000₫","",""
"Laptop HP 15-FC0086AU A6VV9PA","AMD Ryzen 5 7430U (up to 4.3 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)","2 x 8GB","AMD Radeon Graphics","512 GB PCIe NVMe M.2 SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Độ phủ màu 45% NTSC
Màn hình chống chói","3-cell, 41 Wh Li-ion polymer","Windows 11 Home","Bạc","14.090.000₫","5 sao/ (2 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | sản phẩm tốt, nên mua || Nếu có sự cố mong cellphoneS hổ trợ nhanh🥰"
"Laptop HP Victus 15-FB3116AX BX8U4PA","AMD Ryzen 7 7445HS (up to 4.7 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)","2 khe (1 x 16GB)","NVIDIA GeForce RTX 3050 6GB GDDR6","512 GB PCIe Gen4 NVMe M.2 SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
Độ sáng 300 nits
Độ phủ màu 62.5% sRGB","3-cell, 52.5 Wh Li-ion polymer","Windows 11 Home Single Language","Xám đen","23.290.000₫","",""
"Laptop HP 15-FD1289TU C2CV8PA","Intel Core Ultra 7 155H (up to 4.8 GHz with Intel Turbo Boost Technology, 24 MB L3 cache,16 lõi, 22 luồng)","2 khe (2 x 8GB)","Intel Arc Graphics","512 GB PCIe NVMe M.2 SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Viền mỏng (Micro-edge)
Màn hình chống chói
Độ sáng 300 nits
Độ phủ màu 62.5% sRGB","3-cell, 41 Wh Li-ion polymer
Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút","Windows 11 Home Single Language","Bạc","21.990.000₫","",""
"Laptop HP 15-FD0305TU A2NL6PA","Intel Core i3-1315U (lên đến 4,5 GHz với Công nghệ Intel Turbo Boost , bộ nhớ đệm L3 10 MB, 6 lõi, 8 luồng)","2 khe (1 x 8G)","Intel UHD","SSD M.2 PCIe Thế hệ 4 NVMe 256 GB","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC, 62.5% sRGB
Độ sáng 250 nit","Pin Li-ion polymer 3 cell, công suất 41 Wh","Windows 11 Home Single Language","Vàng","11.190.000₫","5 sao/ (1 đánh giá)","Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | tư vấn nhiệt tình"
"Laptop HP Gaming OMEN 16-AM0176TX BX9D3PA","Intel Core Ultra 7 255H (up to 5.1 GHz with Intel Turbo Boost Technology, 24 MB L3 cache, 16 lõi, 16 luồng)","2 khe (2 x 8GB)","NVIDIA GeForce RTX 5060 (8 GB GDDR7 chuyên dụng)
Intel Arc 140T GPU","512 GB PCIe Gen4 NVMe M.2 SSD","16 inches","1920 x 1200 pixels (WUXGA)","Thời gian phản hồi 3 ms
Màn hình chống chói
Ánh sáng xanh thấp
Độ sáng 400 nit
Độ phủ màu 100% sRGB","6-cell, 83 Wh Li-ion polymer","Windows 11 Home Single Language","Đen","38.990.000₫","",""
"Laptop HP 245 G10 BG5U8PT","AMD Ryzen 7 7730U (xung nhịp tăng tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 8 lõi, 16 luồng)","1 x 16GB","AMD Radeon Graphics","512 GB PCIe NVMeTM SSD","14 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Độ sáng 250 nits","HP Long Life 3-cell, 41 Wh Li-ion","Windows 11 Home Single Language","Bạc","15.490.000₫","",""
"Laptop HP Pavilion 15-EG3094TU 8C5L5PA V2","Intel Core i5 - 1335U (1.30 GHz, Turbo Boost 4.6 GHz, 10 lõi / 12 luồng, 12 MB)","2 khe (Máy nguyên bản 16GB)","Intel Iris Xe Graphics","512 GB SSD NVMe PCIe","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Màn hình chống chói
Độ sáng 250 nits","3-cell Li-ion, 41 Wh","Windows 11 Home SL","Vàng","17.490.000₫","",""
